sample_id,split,category,name,description,brand,model,serial_number,batch_no,is_used,is_refurbished,battery_health,accessory_status,ccc_number,energy_level,rohs_status,inspection_agency,inspection_conclusion,battery_safety_passed,charger_safety_passed,appearance_grade,functional_test_passed,repair_history_declared,report_text,risk_level,audit_label,reason_codes
HC-MOB-0001,holdout,mobile_phone,曜石MOB-4,曜石MOB-4电子设备，卖家描述为可正常使用。,曜石,MOB-4,SN-MOB-000001,H2027-0001,false,false,91,full,,Level 2,compliant,第三方送检,fail,false,false,,true,,初检摘要写明样机功能正常，但复核结论指出关键证书信息无法核验。,high,FAIL,battery_safety_concern
HC-MOB-0002,holdout,mobile_phone,曜石MOB-5,曜石MOB-5电子设备，卖家描述为可正常使用。,曜石,MOB-5,SN-MOB-0,H2026-0002,false,false,91,none,,Level 2,compliant,第三方送检,conditional_pass,true,true,,true,,检测摘录显示功能基本正常，但设备识别码仅保留前半段，需人工核验。,medium,REVIEW,
HC-MOB-0003,holdout,mobile_phone,远航MOB-6,卖家宣称全新未拆封，远航MOB-6电子设备，卖家描述为可正常使用。,远航,MOB-6,SN-MOB-000003,H2027-0003,false,true,91,none,,Level 3,compliant,第三方送检,fail,true,true,A,true,false,检测页记录存在拆修痕迹，整机可开机，但销售描述与实物状态不一致。,high,FAIL,undisclosed_refurbished_status
HC-MOB-0004,holdout,mobile_phone,曜石MOB-7,曜石MOB-7电子设备，卖家描述为可正常使用。,曜石,MOB-7,SN-MOB-000004,H2026-0004,false,false,91,full,,Level 3,unknown,深圳质检中心,conditional_pass,true,true,,true,,"Summary: device passed basic checks, Supplement: model code mismatch observed in appendix.",medium,REVIEW,
HC-MOB-0005,holdout,mobile_phone,远航MOB-8,官方整备机，远航MOB-8电子设备，卖家描述为可正常使用。,远航,MOB-8,SN-MOB-000005,H2027-0005,false,true,91,none,,Level 1,limited,第三方送检,conditional_pass,true,true,A,true,true,报告正文未直接写明翻新，仅备注更换外壳与电池，建议人工判断披露是否充分。,medium,REVIEW,
HC-MOB-0006,holdout,mobile_phone,曜石MOB-9,曜石MOB-9电子设备，卖家描述为可正常使用。,曜石,MOB-9,SN-MOB-000006,H2026-0006,false,false,91,partial,,Level 2,limited,平台复核,conditional_pass,false,true,,true,,基础功能通过，但部分安全指标描述模糊，后页注明可继续流通但必须人工核查披露内容。,medium,REVIEW,battery_safety_concern
HC-MOB-0007,holdout,mobile_phone,曜石MOB-10,卖家描述较短：曜石MOB-10可正常使用。,曜石,MOB-10,SN-MOB-000007,H2027-0007,false,false,91,partial,,Level 1,unknown,第三方送检,pass,true,true,,true,,检测页摘要：合格。附页参数正常，建议按常规流程上架。,low,PASS,
HC-MOB-0008,holdout,mobile_phone,远航MOB-11,远航MOB-11电子设备，卖家描述为可正常使用。,远航,MOB-11,SN-MOB-000008,H2026-0008,false,false,91,partial,,Level 1,compliant,第三方送检,fail,false,false,,true,,初检摘要写明样机功能正常，但后续复检备注明确建议暂缓上架。,high,FAIL,battery_safety_concern
HC-MOB-0009,holdout,mobile_phone,曜石MOB-12,曜石MOB-12电子设备，卖家描述为可正常使用。,曜石,MOB-12,SN-MOB-0,H2027-0009,false,false,91,full,,Level 2,limited,第三方送检,conditional_pass,true,true,,true,,检测摘录显示功能基本正常，但设备识别码仅保留前半段，需人工核验。,medium,REVIEW,
HC-MOB-0010,holdout,mobile_phone,曜石MOB-13,卖家宣称全新未拆封，曜石MOB-13电子设备，卖家描述为可正常使用。,曜石,MOB-13,SN-MOB-000010,H2026-0010,false,true,91,full,,Level 1,compliant,深圳质检中心,fail,true,true,B,true,false,检测页记录存在拆修痕迹，整机可开机，但销售描述与实物状态不一致。,high,FAIL,undisclosed_refurbished_status
HC-MOB-0011,holdout,mobile_phone,远航MOB-14,远航MOB-14电子设备，卖家描述为可正常使用。,远航,MOB-14,SN-MOB-000011,H2027-0011,false,false,91,full,,Level 3,unknown,深圳质检中心,conditional_pass,true,true,,true,,"Summary: device passed basic checks, Supplement: model code mismatch observed in appendix.",medium,REVIEW,
HC-MOB-0012,holdout,mobile_phone,远航MOB-15,官方整备机，远航MOB-15电子设备，卖家描述为可正常使用。,远航,MOB-15,SN-MOB-000012,H2026-0012,false,true,91,full,,Level 3,unknown,深圳质检中心,conditional_pass,true,true,B,true,false,报告正文未直接写明翻新，仅备注更换外壳与电池，建议人工判断披露是否充分。,medium,FAIL,undisclosed_refurbished_status
HC-MOB-0013,holdout,mobile_phone,星河MOB-16,星河MOB-16电子设备，卖家描述为可正常使用。,星河,MOB-16,SN-MOB-000013,H2027-0013,false,false,91,none,,Level 3,compliant,深圳质检中心,conditional_pass,false,false,,true,,基础功能通过，但部分安全指标描述模糊，后页注明可继续流通但必须人工核查披露内容。,medium,REVIEW,battery_safety_concern
HC-MOB-0014,holdout,mobile_phone,曜石MOB-17,卖家描述较短：曜石MOB-17可正常使用。,曜石,MOB-17,SN-MOB-000014,H2026-0014,false,false,91,full,,Level 2,limited,第三方送检,pass,true,true,,true,,检测页摘要：合格。附页参数正常，建议按常规流程上架。,low,PASS,
HC-MOB-0015,holdout,mobile_phone,曜石MOB-18,曜石MOB-18电子设备，卖家描述为可正常使用。,曜石,MOB-18,SN-MOB-000015,H2027-0015,false,false,91,partial,,Level 1,limited,平台复核,fail,false,false,,true,,初检摘要写明样机功能正常，但复核页补充说明存在持续发热问题。,high,FAIL,battery_safety_concern
HC-MOB-0016,holdout,mobile_phone,星河MOB-19,星河MOB-19电子设备，卖家描述为可正常使用。,星河,MOB-19,SN-MOB-0,H2026-0016,false,false,91,none,,Level 3,unknown,深圳质检中心,conditional_pass,true,true,,true,,检测摘录显示功能基本正常，但设备识别码仅保留前半段，需人工核验。,medium,REVIEW,
HC-MOB-0017,holdout,mobile_phone,远航MOB-20,卖家宣称全新未拆封，远航MOB-20电子设备，卖家描述为可正常使用。,远航,MOB-20,SN-MOB-000017,H2027-0017,false,true,91,none,,Level 3,unknown,第三方送检,fail,true,true,A,true,false,检测页记录存在拆修痕迹，整机可开机，但销售描述与实物状态不一致。,high,FAIL,undisclosed_refurbished_status
HC-MOB-0018,holdout,mobile_phone,星河MOB-21,星河MOB-21电子设备，卖家描述为可正常使用。,星河,MOB-21,SN-MOB-000018,H2026-0018,false,false,91,none,,Level 1,compliant,平台复核,conditional_pass,true,true,,true,,"Summary: device passed basic checks, Thermal retest result remains unstable after 20 cycles.",medium,REVIEW,
HC-MOB-0019,holdout,mobile_phone,远航MOB-22,官方整备机，远航MOB-22电子设备，卖家描述为可正常使用。,远航,MOB-22,SN-MOB-000019,H2027-0019,false,true,91,full,,Level 2,limited,深圳质检中心,conditional_pass,true,true,A,true,false,报告正文未直接写明翻新，仅备注更换外壳与电池，建议人工判断披露是否充分。,medium,FAIL,undisclosed_refurbished_status
HC-MOB-0020,holdout,mobile_phone,星河MOB-23,星河MOB-23电子设备，卖家描述为可正常使用。,星河,MOB-23,SN-MOB-000020,H2026-0020,false,false,91,partial,,Level 2,limited,第三方送检,conditional_pass,true,true,,true,,基础功能通过，但部分安全指标描述模糊，后页注明可继续流通但必须人工核查披露内容。,medium,REVIEW,
HC-MOB-0021,holdout,mobile_phone,远航MOB-24,卖家描述较短：远航MOB-24可正常使用。,远航,MOB-24,SN-MOB-000021,H2027-0021,false,false,91,full,,Level 1,unknown,平台复核,pass,true,true,,true,,检测页摘要：合格。附页参数正常，建议按常规流程上架。,low,PASS,
HC-MOB-0022,holdout,mobile_phone,远航MOB-25,远航MOB-25电子设备，卖家描述为可正常使用。,远航,MOB-25,SN-MOB-000022,H2026-0022,false,false,91,partial,,Level 1,compliant,第三方送检,fail,false,false,,true,,卖家提供的附件摘要称设备可正常使用，但复核页补充说明存在持续发热问题。,high,FAIL,battery_safety_concern
HC-MOB-0023,holdout,mobile_phone,曜石MOB-26,曜石MOB-26电子设备，卖家描述为可正常使用。,曜石,MOB-26,SN-MOB-0,H2027-0023,false,false,91,partial,,Level 3,compliant,深圳质检中心,conditional_pass,true,true,,true,,检测摘录显示功能基本正常，但设备识别码仅保留前半段，需人工核验。,medium,REVIEW,
HC-MOB-0024,holdout,mobile_phone,星河MOB-27,卖家宣称全新未拆封，星河MOB-27电子设备，卖家描述为可正常使用。,星河,MOB-27,SN-MOB-000024,H2026-0024,false,true,91,partial,,Level 1,compliant,第三方送检,fail,true,true,B,true,false,检测页记录存在拆修痕迹，整机可开机，但销售描述与实物状态不一致。,high,FAIL,undisclosed_refurbished_status
HC-MOB-0025,holdout,mobile_phone,星河MOB-28,星河MOB-28电子设备，卖家描述为可正常使用。,星河,MOB-28,SN-MOB-000025,H2027-0025,false,false,91,partial,,Level 1,unknown,第三方送检,conditional_pass,true,true,,true,,"Summary: device passed basic checks, Thermal retest result remains unstable after 20 cycles.",medium,REVIEW,
HC-MOB-0026,holdout,mobile_phone,曜石MOB-29,官方整备机，曜石MOB-29电子设备，卖家描述为可正常使用。,曜石,MOB-29,SN-MOB-000026,H2026-0026,false,true,91,none,,Level 3,compliant,平台复核,conditional_pass,true,true,B,true,false,报告正文未直接写明翻新，仅备注更换外壳与电池，建议人工判断披露是否充分。,medium,FAIL,undisclosed_refurbished_status
HC-MOB-0027,holdout,mobile_phone,曜石MOB-30,曜石MOB-30电子设备，卖家描述为可正常使用。,曜石,MOB-30,SN-MOB-000027,H2027-0027,false,false,91,partial,,Level 3,compliant,深圳质检中心,conditional_pass,false,false,,true,,基础功能通过，但部分安全指标描述模糊，但备注项较多，需要结合附件人工判断。,medium,REVIEW,battery_safety_concern
HC-MOB-0028,holdout,mobile_phone,远航MOB-31,卖家描述较短：远航MOB-31可正常使用。,远航,MOB-31,SN-MOB-000028,H2026-0028,false,false,91,partial,,Level 2,limited,平台复核,pass,true,true,,true,,检测页摘要：合格。附页参数正常，建议按常规流程上架。,low,PASS,
HC-MOB-0029,holdout,mobile_phone,远航MOB-32,远航MOB-32电子设备，卖家描述为可正常使用。,远航,MOB-32,SN-MOB-000029,H2027-0029,false,false,91,none,,Level 1,unknown,平台复核,fail,false,false,,true,,卖家提供的附件摘要称设备可正常使用，但后续复检备注明确建议暂缓上架。,high,FAIL,battery_safety_concern
HC-MOB-0030,holdout,mobile_phone,远航MOB-33,远航MOB-33电子设备，卖家描述为可正常使用。,远航,MOB-33,SN-MOB-0,H2026-0030,false,false,91,none,,Level 1,unknown,深圳质检中心,conditional_pass,true,true,,true,,检测摘录显示功能基本正常，但设备识别码仅保留前半段，需人工核验。,medium,REVIEW,
HC-MOB-0031,holdout,mobile_phone,远航MOB-34,卖家宣称全新未拆封，远航MOB-34电子设备，卖家描述为可正常使用。,远航,MOB-34,SN-MOB-000031,H2027-0031,false,true,91,full,,Level 1,unknown,第三方送检,fail,true,true,C,true,false,检测页记录存在拆修痕迹，整机可开机，但销售描述与实物状态不一致。,high,FAIL,undisclosed_refurbished_status
