sample_id,split,category,name,description,brand,model,serial_number,batch_no,is_used,is_refurbished,battery_health,accessory_status,ccc_number,energy_level,rohs_status,inspection_agency,inspection_conclusion,battery_safety_passed,charger_safety_passed,appearance_grade,functional_test_passed,repair_history_declared,report_text,risk_level,audit_label,reason_codes
EA-MOB-00001,train,mobile_phone,Huawei Mate 50 智能手机,影像旗舰 北斗消息 智能手机,Huawei,Mate 50,IMEI860000001,B2026-001,false,false,94,partial,,Level 1,compliant,东莞质量评估站,pass,true,true,,true,,检测报告显示整机功能正常 各项安全与稳定性测试合格 可正常销售 连续运行24小时未发现掉线、死机或输出波动。,low,PASS,
EA-MOB-00002,train,mobile_phone,云际Ultra 7手机,影像增强手机,云际,Ultra 7,IMEI860000002,B2025-002,false,false,88,full,,Level 2,compliant,杭州电子检测站,pass,true,true,,true,,见附件。,low,PASS,
EA-MOB-00003,train,mobile_phone,曜石Note 12手机,5G全网通手机,曜石,Note 12,IMEI860000003,B2026-003,false,false,60,partial,,Level 1,compliant,上海质量检测院,fail,false,false,,true,,报告中标注型号与申报型号不一致 存在套证或错报风险,high,FAIL,battery_safety_concern
EA-MOB-00004,train,mobile_phone,Xiaomi Redmi Note 12 5G 手机,OLED 屏幕 长续航 5G 手机,Xiaomi,Redmi Note 12 5G,IMEI860000004,B2025-004,false,false,97,partial,,Level 3,limited,南京消费品检测院,conditional_pass,true,true,,true,,基础检测通过 但报告内容较简略 建议复核附件与证书映射关系,medium,REVIEW,
EA-MOB-00005,train,mobile_phone,Apple iPhone 14 手机,A15 芯片 5G 智能手机,Apple,iPhone 14,IMEI860000005,B2026-005,false,false,89,full,,Level 2,compliant,东莞质量评估站,pass,true,true,,true,,连续运行测试通过 结构完好 未见异常发热和风险点 连续运行24小时未发现掉线、死机或输出波动。,low,PASS,
EA-MOB-00006,train,mobile_phone,Nothing Phone 2 智能手机,透明背板 Glyph 灯效 5G 手机,Nothing,Phone 2,IMEI860000006,B2025-006,false,false,92,partial,,Level 1,limited,成都电子检测中心,pass,true,true,,true,,实验室记录显示设备在标准工况下工作稳定 未发现异常告警 包装、铭牌与申报信息一致。,low,PASS,
EA-MOB-00007,train,mobile_phone,Samsung Galaxy A54 5G 智能手机,AMOLED 屏幕 防水 5G 手机,Samsung,Galaxy A54 5G,IMEI860000007,B2026-007,false,false,97,partial,,Level 1,compliant,东莞质量评估站,pass,true,true,,true,,样机经检测符合标准 关键部件状态正常 可上市流通 证书、批次和能效资料完整。,low,PASS,
EA-MOB-00008,train,mobile_phone,澜讯K9手机,长续航手机,澜讯,K9,IMEI860000008,B2025-008,false,false,100,partial,,Level 2,compliant,苏州声学检测中心,pass,true,true,,true,,检測报告显示整机功能正常 各项安全与稳定性测试合格 可正常销售,low,PASS,
EA-MOB-00009,train,mobile_phone,Xiaomi Redmi Note 12 5G 手机,OLED 屏幕 长续航 5G 手机,Xiaomi,Redmi Note 12 5G,IMEI860000009,B2026-009,false,false,99,partial,,Level 1,compliant,北京电子产品检测所,pass,true,true,,true,,连续运行测试通过 结构完好 未见异常发热和风险点 连续运行24小时未发现掉线、死机或输出波动。,low,PASS,
EA-MOB-00010,train,mobile_phone,Xiaomi Redmi Note 12 5G 手机,OLED 屏幕 长续航 5G 手机,Xiaomi,Redmi Note 12 5G,IMEI860000010,B2025-010,false,false,96,full,,Level 1,limited,广州电子检验所,pass,true,true,,true,,抽检结果为合格 性能 输出和绝缘测试均符合要求 包装、铭牌与申报信息一致。,low,PASS,
EA-MOB-00011,train,mobile_phone,Xiaomi Redmi Note 12 5G 手机,OLED 屏幕 长续航 5G 手机,Xiaomi,Redmi Note 12 5G,IMEI860000011,B2026-011,false,false,90,full,,Level 1,compliant,成都电子检测中心,pass,true,true,,true,,检测报告显示整机功能正常 各项安全与稳定性测试合格 可正常销售 证书、批次和能效资料完整。,low,PASS,
EA-MOB-00012,train,mobile_phone,远航X1手机,长续航手机,远航,X1,IMEI860000012,B2025-012,false,false,92,full,,Level 2,limited,外部资料摘录,fail,true,true,,true,,来源证明不足，包装与铭牌信息存在异常，疑似仿冒或未经授权产品。,high,FAIL,suspected_counterfeit
EA-MOB-00013,train,mobile_phone,曜石K9手机,快充旗舰手机,曜石,K9,IMEI860000013,B2026-013,false,false,93,full,,Level 2,compliant,东莞质量评估站,fail,true,true,,false,,关键功能测试失败，复测仍异常，不满足流通要求。,high,FAIL,
EA-MOB-00014,train,mobile_phone,Nothing Phone 2 智能手机,透明背板 Glyph 灯效 5G 手机,Nothing,Phone 2,IMEI860000014,B2025-014,false,false,91,full,,Level 2,limited,南京消费品检测院,conditional_pass,true,true,,true,,已检测 基本可用 建议人工复核。,medium,REVIEW,
EA-MOB-00015,train,mobile_phone,云际Pro S手机,5G全网通手机,云际,Pro S,,B2026-015,false,false,100,full,,Level 2,compliant,杭州电子检测站,fail,false,false,,true,,检测完成，建议复核。,high,FAIL,missing_device_identifier|battery_safety_concern
EA-MOB-00016,train,mobile_phone,曜石M5手机,影像增强手机,曜石,M5,IMEI860000016,B2025-016,false,true,98,partial,,Level 2,limited,深圳质检中心,fail,true,true,B,true,false,翻新和维修痕迹明显 但未完整披露整备历史 风险较高,high,FAIL,undisclosed_refurbished_status
EA-MOB-00017,train,mobile_phone,远航Ultra 7手机,5G全网通手机,远航,Ultra 7,IMEI860000017,B2026-017,false,false,43,full,,Level 2,limited,广州电子检验所,fail,false,false,,true,,翻新和维修痕迹明显 但未完整披露整备历史 风险较高,high,FAIL,battery_safety_concern
EA-MOB-00018,train,mobile_phone,云际M5手机,快充旗舰手机,云际,M5,IMEI860000018,B2025-018,false,false,100,partial,,Level 1,compliant,东莞质量评估站,fail,true,true,,true,,检测完成，建议复核。,high,FAIL,report_model_mismatch
EA-MOB-00019,train,mobile_phone,OnePlus 11 手机,官方翻新骁龙平台 哈苏影像 5G 手机,OnePlus,OnePlus 11,IMEI860000019,B2026-019,false,true,85,partial,,Level 1,compliant,深圳质检中心,conditional_pass,true,true,A,true,true,翻新记录已声明 样机功能正常 建议带翻新标识销售并人工复核详情,medium,REVIEW,
EA-MOB-00020,train,mobile_phone,Nothing Phone 2 智能手机,透明背板 Glyph 灯效 5G 手机,Nothing,Phone 2,IMEI860000020,B2025-020,false,false,94,full,,Level 2,compliant,成都电子检测中心,pass,true,true,,true,,连续运行测试通过 结构完好 未见异常发热和風险点 备注：包装文字与申报信息需人 工核对,low,PASS,
EA-MOB-00021,train,mobile_phone,澜讯Ultra 7手机,5G全网通手机,澜讯,Ultra 7,,,false,false,99,full,,Level 1,limited,北京电子产品检测所,fail,true,true,,true,,高温或耐压测试未通过 存在安全隐患 应直接拦截,high,FAIL,missing_device_identifier
EA-MOB-00022,train,mobile_phone,云际M5手机,5G全网通手机,云际,M5,,B2025-022,false,false,88,full,,Level 2,limited,苏州声学检测中心,fail,false,false,,true,,见附件。,high,FAIL,missing_device_identifier|battery_safety_concern
EA-MOB-00023,train,mobile_phone,Nothing Phone 2 智能手机,透明背板 Glyph 灯效 5G 手机,Nothing,Phone 2,IMEI860000023,B2026-023,false,false,98,partial,,Level 2,compliant,北京电子产品检测所,conditional_pass,true,true,,true,,包装封签存在重新整理痕迹 样机主要功能正常 建议人工抽检 个别备注项需人工判断是否影响销售结论。,medium,REVIEW,
EA-MOB-00024,train,mobile_phone,星河Note 12手机,影像增强手机,星河,Note 12,IMEI860000024,B2025-024,false,false,64,partial,,Level 2,limited,广州电子检验所,fail,false,false,,true,,翻新和维修痕迹明显 但未完整披露整备历史 风险较高,high,FAIL,battery_safety_concern
EA-MOB-00025,train,mobile_phone,OnePlus 11 手机,官方翻新骁龙平台 哈苏影像 5G 手机,OnePlus,OnePlus 11,IMEI860000025,B2026-025,false,true,90,full,,Level 2,compliant,东莞质量评估站,conditional_pass,true,true,A,true,true,环境或能效信息不够完整 建议核对补充资料后再放行,medium,REVIEW,
EA-MOB-00026,train,mobile_phone,星河M5手机,高刷屏手机,星河,M5,IMEI860000026,B2025-026,false,false,95,full,,Level 1,limited,东莞质量评估站,pass,true,true,,true,,连续运行测试通过 结构完好 未见异常发热和风险点 包装、铭牌与申报信息一致。,low,PASS,
