sample_id,split,category,name,description,brand,model,serial_number,batch_no,is_used,is_refurbished,battery_health,accessory_status,ccc_number,energy_level,rohs_status,inspection_agency,inspection_conclusion,battery_safety_passed,charger_safety_passed,appearance_grade,functional_test_passed,repair_history_declared,report_text,risk_level,audit_label,reason_codes
CPSC-10727,train,charger,Manik and Apex-branded ATX Computer Power Supplies (PSU),Apex Gaming PCs Recalls Manik and Apex-branded ATX Computer Power Supplies Due to Risk of Serious Injury or Death from Electrical Shock and Electrocution Hazards,Apex Gaming PCs Inc.,,,26426,false,false,,unknown,,unknown,unknown,U.S. Consumer Product Safety Commission,fail,false,false,,false,,"CPSC recall 26426 published 2026-04-16. Title: Apex Gaming PCs Recalls Manik and Apex-branded ATX Computer Power Supplies Due to Risk of Serious Injury or Death from Electrical Shock and Electrocution Hazards Product: Manik and Apex-branded ATX Computer Power Supplies (PSU) Hazard: The units lack a permanent, on-product warning label identifying potential electrical shock and electrocution hazards, posing a risk of serious injury or death if the unit is opened or disassembled. Incidents/Injuries: None reported Remedy: Consumers should stop using the recalled computer power supplies immediately and contact Apex Gaming PCs Inc. for a free repair in the form of one permanent, UL-recognized, heat-resistant adhesive safety label containing an ANSI-compliant ""Danger/Warning"" shock hazard and ""No User-Serviceable Parts"" label sticker to be mailed to the consumer via U.S. Mail. Consumers who are uncomfortable adding the UL-recognized safety label can request a free replacement unit. Replacement units will be sent free of charge, and the original unit must be returned using the same box and provided shipping label that is sent with the replacement unit. Consumers should not, under any circumstances, attempt to open, disassemble, or service the power supply unit. Source: https://www.cpsc.gov/Recalls/2026/Apex-Gaming-PCs-Recalls-Manik-and-Apex-branded-ATX-Computer-Power-Supplies-Due-to-Risk-of-Serious-Injury-or-Death-from-Electrical-Shock-and-Electrocution-Hazards",high,FAIL,missing_ccc_information|battery_safety_concern
CPSC-10706,train,power_bank,VEEKTOMX Portable Charger Mini Power Banks,"Shenzhen Baihang Recalls VEEKTOMX Mini Power Banks, Due to Fire and Burn Hazards; Sold on Amazon",Shenzhen Baihang Technology Co.,VT103,,26399,false,false,45,unknown,,unknown,unknown,U.S. Consumer Product Safety Commission,fail,false,false,,false,,"CPSC recall 26399 published 2026-04-09. Title: Shenzhen Baihang Recalls VEEKTOMX Mini Power Banks, Due to Fire and Burn Hazards; Sold on Amazon Product: VEEKTOMX Portable Charger Mini Power Banks Hazard: The lithium-ion battery in the recalled power banks can overheat and ignite, posing fire and burn hazards to consumers. Incidents/Injuries: Shenzhen Baihang has received three reports of fires resulting in minor property damage. No injuries have been reported. Remedy: Consumers should immediately stop using the recalled power banks and contact Shenzhen Baihang to verify power bank is part of the recall and receive a free replacement power bank. Source: https://www.cpsc.gov/Recalls/2026/Shenzhen-Baihang-Recalls-VEEKTOMX-Mini-Power-Banks-Due-to-Fire-and-Burn-Hazards-Sold-on-Amazon",high,FAIL,missing_ccc_information|battery_safety_concern
CPSC-10689,train,charger,HTRC and Haisito battery chargers,HTRC and Haisito T400 Battery Chargers Recalled Due to Risk of Serious Injury and Death from Fire Hazard; Manufactured by Huizhou Haitan Technology,Huizhou Haitan Technology Co.,T400,,26379,false,false,,unknown,,unknown,unknown,U.S. Consumer Product Safety Commission,fail,false,false,,false,,"CPSC recall 26379 published 2026-04-02. Title: HTRC and Haisito T400 Battery Chargers Recalled Due to Risk of Serious Injury and Death from Fire Hazard; Manufactured by Huizhou Haitan Technology Product: HTRC and Haisito battery chargers Hazard: The chargers can ignite or cause a connected battery to ignite, posing a fire hazard and risk of serious injury and death. Incidents/Injuries: Huizhou Haitan Technology has received 33 reports of fires and explosions, including three reports of burn and smoke inhalation injuries and 12 reports of property damage totaling $224,000. Remedy: Consumers should immediately stop using the recalled chargers and contact Huizhou Haitan Technology for instructions on how to return the chargers for a full refund. Consumers will be instructed to contact the firm to request a prelabeled and prepaid return package to be sent to them so they can return the chargers to the firm for disposal. Source: https://www.cpsc.gov/Recalls/2026/HTRC-and-Haisito-T400-Battery-Chargers-Recalled-Due-to-Risk-of-Serious-Injury-and-Death-from-Fire-Hazard-Manufactured-by-Huizhou-Haitan-Technology",high,FAIL,missing_ccc_information|battery_safety_concern
CPSC-10553,train,power_bank,Isla Rae Magnetic Wireless Chargers,Isla Rae Magnetic Wireless Chargers Recalled Due to Fire and Burn Hazards; Sold by TJX at T.J. Maxx and Marshalls Stores,Hello to Green,RM5PBM,,26179,false,false,45,unknown,,unknown,unknown,U.S. Consumer Product Safety Commission,fail,false,false,,false,,"CPSC recall 26179 published 2026-01-08. Title: Isla Rae Magnetic Wireless Chargers Recalled Due to Fire and Burn Hazards; Sold by TJX at T.J. Maxx and Marshalls Stores Product: Isla Rae Magnetic Wireless Chargers Hazard: The chargers can explode while in use, posing a fire and burn hazard. Incidents/Injuries: None reported. Remedy: Consumers should immediately stop using the recalled magnetic wireless chargers and go to https://www.recallrtr.com/powerbank to register for the recall and for instructions on how to receive a full refund. After registering, consumers should dispose of the power bank in accordance with local and state regulations and not discard it in the household trash. Source: https://www.cpsc.gov/Recalls/2026/Isla-Rae-Magnetic-Wireless-Chargers-Recalled-Due-to-Fire-and-Burn-Hazards-Sold-by-TJX-at-TJ-Maxx-and-Marshalls-Stores",high,FAIL,missing_ccc_information|battery_safety_concern
CPSC-10516,train,power_bank,INIU BI-B41 Power Banks,INIU Recalls Power Banks Due to Fire and Burn Hazards; Sold on Amazon,Shenzhen Topstar Industry Co.,BI-B41,,26135,false,false,45,unknown,,unknown,unknown,U.S. Consumer Product Safety Commission,fail,false,false,,false,,"CPSC recall 26135 published 2025-12-05. Title: INIU Recalls Power Banks Due to Fire and Burn Hazards; Sold on Amazon Product: INIU BI-B41 Power Banks Hazard: The lithium-ion battery in the recalled power banks can overheat and ignite, posing fire and burn hazards to consumers. Incidents/Injuries: INIU has received 15 reports of power banks overheating, including 11 reports of fires that resulted in three minor burn injuries and property damage totaling over $380,000. Remedy: Consumers should immediately stop using the recalled planers and contact Grizzly Industrial for a free repair kit and installation instructions. The repair kit consists of an upgraded chip breaker adjustment rod, spacer, set screws, lock washers, and lock nuts. Source: https://www.cpsc.gov/Recalls/2026/INIU-Recalls-Power-Banks-Due-to-Fire-and-Burn-Hazards-Sold-on-Amazon",high,FAIL,missing_ccc_information|battery_safety_concern
CPSC-10512,val,tablet,KTEBO Writing Tablet Toy,KTEBO Writing Tablet Toys Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violates Mandatory Standard for Toys; Sold on Amazon by KTEBO,Banghe Guangzhou International Trade Co.,,,26131,false,false,45,unknown,,unknown,unknown,U.S. Consumer Product Safety Commission,fail,false,false,,false,,"CPSC recall 26131 published 2025-12-04. Title: KTEBO Writing Tablet Toys Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violates Mandatory Standard for Toys; Sold on Amazon by KTEBO Product: KTEBO Writing Tablet Toy Hazard: The recalled toys violate the mandatory standard for toys because the screw used to secure the battery compartment that contains a button cell battery does not remain attached as required. When button cell or coin batteries are swallowed, the ingested batteries can cause serious injuries, internal chemical burns, and death. Incidents/Injuries: None reported Remedy: Consumers should immediately stop using the recalled writing tablet toys and contact KTEBO for a free replacement set of tablet toys. Consumers should write ""RECALLED"" on the back of both tablet toys that came in the set, take a photo of the marked tablet toys, and submit the photos to writing-tablet-recall@ktebo.com with ""Recall Proof"" and their name in the subject line. Note: Button cell batteries are hazardous. Batteries should be disposed of or recycled by following local hazardous waste procedures. Source: https://www.cpsc.gov/Recalls/2026/KTEBO-Writing-Tablet-Toys-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Battery-Ingestion-Violates-Mandatory-Standard-for-Toys-Sold-on-Amazon-by-KTEBO",high,FAIL,missing_device_identifier|battery_safety_concern
CPSC-10484,test,power_bank,Portable Power Banks and Wireless Charging Stands,Belkin Recalls Portable Power Banks and Wireless Charging Stands Due to Fire and Burn Hazards,Belkin International Inc.,MMA008,,26090,false,false,45,unknown,,unknown,unknown,U.S. Consumer Product Safety Commission,fail,false,false,,false,,"CPSC recall 26090 published 2025-11-13. Title: Belkin Recalls Portable Power Banks and Wireless Charging Stands Due to Fire and Burn Hazards Product: Portable Power Banks and Wireless Charging Stands Hazard: The lithium-ion battery in the power banks and charging stands can overheat, posing fire and burn hazards to consumers. Incidents/Injuries: The firm has received one report of a fire incident in the U.S. (and 15 reports internationally). Two minor burn injuries and property damage totaling $37,765 have been reported outside of the U.S. Remedy: Consumers should immediately stop using the recalled power banks and charging stands and contact Belkin to receive a full refund or store credit. Consumers should submit photos showing the front and back of the product with their recall submission form. Consumers can receive a full refund for the amount on the purchase receipt, if provided. If no receipt is provided, consumers can receive the average sales price for the model. Alternatively, consumers can choose to receive a Belkin store credit worth 20 percent more than the average sales price of the model. Note: Do not throw this recalled lithium-ion battery or device in the trash, the general recycling stream (e.g., street-level or curbside recycling bins), or used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether it accepts recalled lithium-ion batteries. If it does not, contact your municipality for further guidance. Source: https://www.cpsc.gov/Recalls/2026/Belkin-Recalls-Portable-Power-Banks-and-Wireless-Charging-Stands-Due-to-Fire-and-Burn-Hazards",high,FAIL,missing_ccc_information|battery_safety_concern
CPSC-10425,train,power_bank,ESR HaloLock Wireless Power Banks,ESR HaloLock Wireless Power Banks Recall Expanded to Include Additional Model Due to Risk of Serious Burn Injury and Fire Hazard Due to Fire and Burn Hazards; Distributed by Waymeet,Waymeet Limited,2G505,,26011,false,false,45,unknown,,unknown,unknown,U.S. Consumer Product Safety Commission,fail,false,false,,false,,"CPSC recall 26011 published 2025-10-09. Title: ESR HaloLock Wireless Power Banks Recall Expanded to Include Additional Model Due to Risk of Serious Burn Injury and Fire Hazard Due to Fire and Burn Hazards; Distributed by Waymeet Product: ESR HaloLock Wireless Power Banks Hazard: The lithium-ion battery in the recalled power banks can overheat and ignite, posing fire and burn hazards to consumers. Incidents/Injuries: The firm has received 20 reports of the lithium-ion battery catching fire and exploding, resulting in property damage of about $30,000. No injuries have been reported. Remedy: Consumers should immediately stop using the recalled power banks and contact Waymeet for a full refund. Consumers will be asked to send to support@esrtech.com their order number (not required) and a photo of the recalled power bank showing the model number with the word ""Recalled"" written on it in permanent marker. Consumers should dispose of the power banks in accordance with local and state hazardous waste disposal regulations. Note: Do not throw this recalled lithium-ion battery or device in the trash, the general recycling stream (e.g., street-level or curbside recycling bins), or used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether it accepts recalled lithium-ion batteries. If it does not, contact your municipality for further guidance. Source: https://www.cpsc.gov/Recalls/2026/ESR-HaloLock-Wireless-Power-Banks-Recall-Expanded-to-Include-Additional-Model-Due-to-Fire-and-Burn-Hazards-Distributed-by-Waymeet",high,FAIL,missing_ccc_information|battery_safety_concern
CPSC-10417,train,power_bank,"BP125, BatPak 2F and BatPak 3F Power Banks",Zyntony Recalls Kogalla Power Banks Due to Fire and Burn Hazards; Sold on Kogalla.com,Zyntony Inc.,BP125,,26002,false,false,45,unknown,,unknown,unknown,U.S. Consumer Product Safety Commission,fail,false,false,,false,,"CPSC recall 26002 published 2025-10-02. Title: Zyntony Recalls Kogalla Power Banks Due to Fire and Burn Hazards; Sold on Kogalla.com Product: BP125, BatPak 2F and BatPak 3F Power Banks Hazard: The recalled power banks' lithium-ion batteries can overheat and ignite, even when not in use, posing fire and burn hazards. Incidents/Injuries: Zyntony has received two reports of lithium-ion battery overheating and catching fire, even when not in use, resulting in one minor burn injury and property damage, totaling about $3,300. Remedy: Consumers should immediately stop using the recalled power banks and contact Kogalla for instructions on how to receive a free replacement power bank, including shipping. Consumers will be asked to fill out the online form at https://rtn.kogalla.com/products/request-batpak-replacement. Consumers should immediately dispose of the recalled power banks, in accordance with local and state regulations. Source: https://www.cpsc.gov/Recalls/2026/Zyntony-Recalls-Kogalla-Power-Banks-Due-to-Fire-and-Burn-Hazards-Sold-on-Kogalla-com",high,FAIL,missing_ccc_information|battery_safety_concern
CPSC-10392,train,charger,CT-ENERGY Lithium Coin Battery Chargers with Rechargeable 2032 Batteries,CT-ENERGY Lithium Coin Battery Chargers Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violations of Standard for Coin Battery Products and Statute for Battery Packaging; Imported by CT New Energy Technology,CT (Foshan) New Energy Technology Co.,nc-02,,25449,false,false,,unknown,,unknown,unknown,U.S. Consumer Product Safety Commission,fail,false,false,,false,,"CPSC recall 25449 published 2025-08-28. Title: CT-ENERGY Lithium Coin Battery Chargers Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violations of Standard for Coin Battery Products and Statute for Battery Packaging; Imported by CT New Energy Technology Product: CT-ENERGY Lithium Coin Battery Chargers with Rechargeable 2032 Batteries Hazard: The recalled battery charger violates the mandatory standard for consumer products containing button cell or coin batteries because the charger has lithium coin batteries that can be accessed easily by children. In addition, the coin batteries provided with the battery charger are not in child-resistant packaging, and the packaging does not have the warnings as required by Reese's Law. When button cell or coin batteries are swallowed, the ingested batteries can cause serious injuries, internal chemical burns and death. Incidents/Injuries: None reported Remedy: Consumers should immediately stop using the charger and remove the batteries and place them in an area that children cannot access. Contact CT New Energy Technology for a full refund, Child-Resistant Safety Case, or replacement kit. The complimentary repair kits and replacement kits will be available after August 30, 2025. Consumers will be asked to submit photos of the batteries' destruction completely submerged in tap water to info@ct-energy.cn. Soaking the batteries in water for 24 hours discharges the battery. Note: Button cell and coin batteries are hazardous. Batteries should be disposed of or recycled by following local hazardous waste procedures. Source: https://www.cpsc.gov/Recalls/2025/CT-ENERGY-Lithium-Coin-Battery-Chargers-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Battery-Ingestion-Violations-of-Standard-for-Coin-Battery-Products-and-Statute-for-Battery-Packaging-Imported-by-CT-New-Energy-Technology",high,FAIL,missing_ccc_information|battery_safety_concern
