sample_id,split,category,name,description,brand,model,serial_number,batch_no,is_used,is_refurbished,battery_health,accessory_status,ccc_number,energy_level,rohs_status,inspection_agency,inspection_conclusion,battery_safety_passed,charger_safety_passed,appearance_grade,functional_test_passed,repair_history_declared,report_text,risk_level,audit_label,reason_codes
CN-RECALL-20260408-115337,train,accessory,戏水玩具,汕头市澳嘉特塑胶实业有限公司召回部分戏水玩具,,B-17,,,false,false,,unknown,,unknown,unknown,国家市场监督管理总局缺陷产品召回技术中心,fail,false,false,,false,,中国缺陷产品召回公告 2026-04-07。 标题：汕头市澳嘉特塑胶实业有限公司召回部分戏水玩具 生产者：汕头市澳嘉特塑胶实业有限公司 产品：戏水玩具 型号规格：B-17 涉及数量：60 存在的缺陷：带可更换电池的电池玩具无在电池室标识电池的电压， 不符合 GB 19865-2005标准的要求。 可能导致的后果：无法给消费者正确的指引，会令消费者使用不当造成伤害 。 召回措施：通知销售商立即停止销售缺陷产品，并在 店铺发召回公告 ， 告 知消费 者具体事宜，为购买到缺陷产品的消费者 更换一盒符合 安全要求的产 品或 退货处理。 来源：https://www.samrdprc.org.cn/xfpzh/xfpzhgg/202604/t20260408_115337.html,high,FAIL,battery_safety_concern
CN-RECALL-20260408-115336,train,accessory,益智拼插积木,汕头市拓木科技实业有限公司召回部分拓木牌益智拼插积木,拓木,T2008,,,false,false,,unknown,,unknown,unknown,国家市场监督管理总局缺陷产品召回技术中心,fail,false,false,,false,,中国缺陷产品召回公告 2026-04-07。 标题：汕头市拓木科技实业有限公司召回部分拓木牌益智拼插积木 生产者：汕头市拓木科技实业有限公司 产品：益智拼插积木 品牌：拓木 型号规格：T2008 涉及数量：200 只 存在的缺陷：（1） 带有玩具变压器或电池充电器的玩具说明缺少检查电线插头的 说 明，标识缺少，无法给消费者提供正确的指引，会令消费者使用 不当 造成伤害事故。 （2） 无可更换电池的安全使用注意事项或警示说明，标识缺少，无 法 给消费者提供正确的指引，会令消费者使用不当造成伤害事 故 可能导致的后果：无可更换电池的安全使用注意事项或警示说明，标识缺少，无法给 消 费者提供正确的指引，会令消费者使用不当造成伤害事 故。 召回措施：通知 销售商立即停止销售缺陷产品，销售商 杜斯博 ） 发布 召回公告 ， 告知消费者具体召回事宜，为购买到缺陷产品的消费者免费更换 符 合 安全要求的产品 或 退货处理。 来源：https://www.samrdprc.org.cn/xfpzh/xfpzhgg/202604/t20260408_115336.html,high,FAIL,battery_safety_concern
CN-RECALL-20260408-115328,train,accessory,电取暖器,浏阳市妙佳电器有限公司召回部分电取暖器,,MJ-04,,—,false,false,,unknown,,unknown,unknown,国家市场监督管理总局缺陷产品召回技术中心,fail,false,false,,false,,中国缺陷产品召回公告 2026-04-07。 标题：浏阳市妙佳电器有限公司召回部分电取暖器 生产者：浏阳市妙佳电器有限公司 产品：电取暖器 型号规格：MJ-04 涉及数量：300台 存在的缺陷：产品的标志和说明、结构项目不符合GB 4706.1-2005、 GB 4706.23-2007标准， 可能 存在触电的风险。 可能导致的后果：消费 者在使用过程中 可能 存在触电的风险 。 召回措施：退货 来源：https://www.samrdprc.org.cn/xfpzh/xfpzhgg/202604/t20260408_115328.html,high,FAIL,battery_safety_concern
CN-RECALL-20260401-115308,train,charger,延长线插座,普宁市占陇继业电器配件厂召回部分祈尔牌延长线插座,祈尔,HT / 额定电压 250V ~ ， 额定功率 2500W 或 4000W ， 额定 电流 10A 或 16A,,026 批次,false,false,,unknown,,unknown,unknown,国家市场监督管理总局缺陷产品召回技术中心,fail,false,false,,false,,中国缺陷产品召回公告 2026-03-26。 标题：普宁市占陇继业电器配件厂召回部分祈尔牌延长线插座 生产者：普宁市占陇继业电器配件厂 产品：延长线插座 品牌：祈尔 型号规格：HT / 额定电压 250V ~ ， 额定功率 2500W 或 4000W ， 额定 电流 10A 或 16A 涉及数量：10 存在的缺陷：产品的软缆导体的横截面积过小。 可能导致的后果：可能引起触电 、 起火危险。 召回措施：通知销售商立即停止销售缺陷产品，并在 厂家和 销售商实体店铺 发布召回公告 ， 告知消费者具体召回事宜，为购买到缺陷产品的 消费者 免费更换或退货处理 。 来源：https://www.samrdprc.org.cn/xfpzh/xfpzhgg/202604/t20260401_115308.html,high,FAIL,missing_ccc_information|battery_safety_concern
CN-RECALL-20260319-115268,train,accessory,电热水壶,广东正鸿泰电器有限公司召回部分万利达牌电热水壶,万利达,ZH-908A,,第一批次,false,false,,unknown,,unknown,unknown,国家市场监督管理总局缺陷产品召回技术中心,fail,false,false,,false,,中国缺陷产品召回公告 2026-03-19。 标题：广东正鸿泰电器有限公司召回部分万利达牌电热水壶 生产者：广东正鸿泰 电器有限公司 产品：电热水壶 品牌：万利达 型号规格：ZH-908A 涉及数量：20 个 存在的缺陷：产品结构、 内部布线、电源连接和外部软线 项目 不符合 GB 4706.1-200 5 、 GB 4706.19-2008 的 标准 要求。 可能导致的后果：可能引发 烫伤、触电和起火 的危险。 召回措施：通知销售商立即停止销售缺陷产品，及销售商实体店铺发布召 回公告 ， 告知消费者具体召回事宜，为购买到缺陷产品的消费 者免费维修、更换或退货处理。 来源：https://www.samrdprc.org.cn/xfpzh/xfpzhgg/202603/t20260319_115268.html,high,FAIL,battery_safety_concern
CN-RECALL-20260319-115266,train,accessory,电热水壶,廉江市恒扬电器有限公司召回部分万利达牌电热水壶,万利达,HY-022515B,,20250513 一批次,false,false,,unknown,,unknown,unknown,国家市场监督管理总局缺陷产品召回技术中心,fail,,false,,false,,中国缺陷产品召回公告 2026-03-18。 标题：廉江市恒扬电器有限公司召回部分万利达牌电热水壶 生产者：廉 江 市 恒扬 电器有限公司 产品：电热水壶 品牌：万利达 型号规格：HY-022515B 涉及数量：90 个 存在的缺陷：产品结构项目 不符合 GB 4706.1-200 5 、 GB 4706.19-2008 的 标 准 要求。 可能导致的后果：可能引发机械伤害的危险。 召回措施：通知销售商立即停止销售缺陷产品，及销售商实体店铺发布 召 回公告 ， 告知消费者具体召回事宜，为购买到缺陷产品的 消费 者免费维修、更换或退货处理。 来源：https://www.samrdprc.org.cn/xfpzh/xfpzhgg/202603/t20260319_115266.html,high,FAIL,
CN-RECALL-20260309-115222,val,accessory,装糖玩具,广东美宜佳食品有限公司召回部分美佳园牌装糖玩具,美佳园,MJY-043/1*72只,,2025.07.15\一批次,false,false,,unknown,,unknown,unknown,国家市场监督管理总局缺陷产品召回技术中心,fail,false,false,,false,,中国缺陷产品召回公告 2026-03-09。 标题：广东美宜佳食品有限公司召回部分美佳园牌装糖玩具 生产者：广东美宜佳食品有限公司 产品：装糖玩具 品牌：美佳园 型号规格：MJY-043/1*72只 涉及数量：5件（360只） 存在的缺陷：产品标签未标识电池的使用说明。 可能导致的后果：可能会导致电池混用，装反，短路等，令消费者使用不当造成 伤害 事故。 召回措施：通知销售商立即停止销售缺陷产品，并在公司销售店铺及销售 商实体 店 铺发布召回公告，告知消费者具体召回事宜，为购买 到缺陷产品的 消费 者更换或退货处理。 来源：https://www.samrdprc.org.cn/xfpzh/xfpzhgg/202603/t20260309_115222.html,high,FAIL,battery_safety_concern
CN-RECALL-20260225-115206,val,accessory,遥控车玩具,汕头市澄海区莲下杰挺玩具厂召回部分永恒之光牌遥控玩具车,永恒之光,JT3605,,,false,false,,unknown,,unknown,unknown,国家市场监督管理总局缺陷产品召回技术中心,fail,false,false,,false,,中国缺陷产品召回公告 2026-02-14。 标题：汕头市澄海区莲下杰挺玩具厂召回部分永恒之光牌遥控玩具车 生产者：汕头市澄海区莲下杰挺玩具厂 产品：遥控车玩具 品牌：永恒之光 型号规格：JT3605 涉及数量：72 只 存在的缺陷：1. 供96个月以下儿童使用的玩具存在可触及的危险锐利尖端， 不符 合 标准GB 6675.2-2014的要求 。 2. 带可更换电池的电池玩具无在电池室标识电池比例形状、 电压、 极 性，无法给消费者提供正确的指引，不符合标准 GB 19865-2005的 要 求 。 可能导致的后果：1. 锐利尖端 可能刺伤儿童的手指等身体部位 。 2.缺少安全使用标识指引， 会令消费者使用不当造成伤害事 故 。 召回措施：通知 销售商立即停止销售缺陷产品，销售商（ 海丰县久久文 体用品 店 ） 发布 召回公告 ， 告知消费者具体召回事宜，为购 买到缺陷产品 的消费者免费更换 符合安全要求的产品 或 退货 处理。 来源：https://www.samrdprc.org.cn/xfpzh/xfpzhgg/202602/t20260225_115206.html,high,FAIL,battery_safety_concern
CN-RECALL-20260213-115197,test,accessory,趣味玩具,汕头市迪拉贝比玩具有限公司召回部分DL403趣味玩具,,DL403,,20250605,false,false,,unknown,,unknown,unknown,国家市场监督管理总局缺陷产品召回技术中心,fail,false,false,,false,,中国缺陷产品召回公告 2026-02-10。 标题：汕头市迪拉贝比玩具有限公司召回部分DL403趣味玩具 生产者：汕头市迪拉贝比玩具有限公司 产品：趣味玩具 型号规格：DL403 涉及数量：220 只 存在的缺陷：产品存在口动玩具可拆卸零件是小零件 ，不符合 GB 6675.2-2014 标准 要求 ；缺少可更换电池的安全使用注意事项或警示说明，标识缺失， 不符合 GB 19865 -20 05 标准要求 。 可能导致的后果：可能 导致小孩误吞食 ，容易导致 窒息 危险发生； 标识缺失，无法提供 正确指引，会令消费者使用不当造成伤害事故。 召回措施：1. 在工厂 及销售商 处贴布 召回公告 ， 告知消费者召回事宜 。 2. 接受消费者咨询，为消费者 更换 一盒符合安全要求的产品 或 退货。 来源：https://www.samrdprc.org.cn/xfpzh/xfpzhgg/202602/t20260213_115197.html,high,FAIL,battery_safety_concern
CN-RECALL-20260211-115182,train,accessory,取暖器,岳阳楼区鑫怡乐电器商行召回部分鑫怡乐牌取暖器,鑫怡乐,NSB-90,,,false,false,,unknown,,unknown,unknown,国家市场监督管理总局缺陷产品召回技术中心,fail,false,false,,false,,中国缺陷产品召回公告 2026-02-10。 标题：岳阳楼区鑫怡乐电器商行召回部分鑫怡乐牌取暖器 生产者：岳阳楼区鑫怡乐电器商行 产品：取暖器 品牌：鑫怡乐 型号规格：NSB-90 涉及数量：150 台 存在的缺陷：取暖器的控制旋钮未可靠固定，未接地金属开关轴暴露，易被 接触，以及产品 的 耐潮湿和固体绝缘等项目不符合 GB 4706.23-2007 标准要求 。 可能导致的后果：消费者在使用过程中可能发生触电的危险。 召回措施：停止销售，公告召回，为消费者免费退换货。 来源：https://www.samrdprc.org.cn/xfpzh/xfpzhgg/202602/t20260211_115182.html,high,FAIL,battery_safety_concern
